participant,time_s,value
participant_3,1290.0,0.78
participant_3,1350.0,0.62
participant_3,1410.0,0.603
participant_3,1470.0,1.677
participant_3,1530.0,0.767
participant_3,1590.0,0.747
participant_3,1650.0,0.37
participant_3,1710.0,0.201
participant_3,1770.0,-0.045
participant_3,1830.0,-0.998
participant_3,1890.0,-1.055
participant_3,1950.0,-0.71
participant_3,2010.0,-0.953
participant_3,2070.0,-1.591
participant_3,2130.0,-0.867
participant_3,2190.0,-1.378
participant_3,2250.0,-0.878
participant_3,2310.0,-0.833
participant_3,2370.0,-1.498
participant_3,2430.0,-1.052
participant_3,2490.0,-1.148
participant_3,2550.0,-0.922
participant_3,2610.0,0.395
participant_3,2670.0,0.744
participant_3,2730.0,-0.123
participant_3,2790.0,1.105
participant_3,2850.0,0.267
participant_3,2910.0,0.32
participant_3,2970.0,0.323
participant_3,3030.0,3.882
participant_3,3090.0,0.724
participant_3,3150.0,-0.293
participant_3,3210.0,-0.136
participant_3,3270.0,-0.505
participant_3,3330.0,0.494
participant_3,3390.0,0.317
participant_3,3450.0,-0.445
participant_3,3510.0,0.689
participant_3,3570.0,-0.477
participant_3,3630.0,0.394
participant_3,3690.0,0.631
participant_3,3750.0,0.03
participant_3,3810.0,-0.964
participant_3,3870.0,3.476
participant_3,3930.0,-0.272
participant_3,3990.0,-0.752
participant_3,4050.0,-0.196
participant_3,4110.0,0.073
participant_3,4170.0,-0.867
participant_3,4230.0,-1.765
participant_3,4290.0,-1.364
participant_3,4350.0,-1.41
participant_3,4410.0,-1.375
participant_3,4470.0,0.351
participant_3,4530.0,1.306
participant_3,4590.0,-0.494
participant_3,4650.0,-0.053
participant_3,4710.0,0.726
participant_3,4770.0,0.792
participant_3,4830.0,0.488
participant_3,4890.0,-1.507
participant_3,4950.0,0.76
participant_3,5010.0,0.686
participant_3,5070.0,1.217
participant_3,5130.0,0.723
participant_3,5190.0,0.716
participant_3,5250.0,0.318
participant_3,5310.0,-0.33
participant_3,5370.0,-0.089
participant_3,5430.0,0.633
participant_3,5490.0,0.602
participant_3,5550.0,-0.126
participant_3,5610.0,0.647
participant_3,5670.0,0.208
participant_3,5730.0,-0.31
participant_3,5790.0,-1.278
participant_3,5850.0,0.246
participant_3,5910.0,-0.992
participant_1,1290.0,1.22
participant_1,1350.0,0.7
participant_1,1410.0,-1.103
participant_1,1470.0,0.437
participant_1,1530.0,-1.158
participant_1,1590.0,-1.501
participant_1,1650.0,-1.525
participant_1,1710.0,0.168
participant_1,1770.0,-0.788
participant_1,1830.0,-0.873
participant_1,1890.0,0.511
participant_1,1950.0,0.311
participant_1,2010.0,0.968
participant_1,2070.0,0.497
participant_1,2130.0,-0.66
participant_1,2190.0,-1.418
participant_1,2250.0,-1.652
participant_1,2310.0,-0.825
participant_1,2370.0,-0.162
participant_1,2430.0,-0.17
participant_1,2490.0,0.287
participant_1,2550.0,-0.004
participant_1,2610.0,-0.209
participant_1,2670.0,0.36
participant_1,2730.0,1.806
participant_1,2790.0,1.318
participant_1,2850.0,0.659
participant_1,2910.0,0.392
participant_1,2970.0,-0.493
participant_1,3030.0,-0.043
participant_1,3090.0,-0.255
participant_1,3150.0,-2.076
participant_1,3210.0,-0.155
participant_1,3270.0,-0.665
participant_1,3330.0,-0.136
participant_1,3390.0,1.225
participant_1,3450.0,2.129
participant_1,3510.0,0.802
participant_1,3570.0,-0.446
participant_1,3630.0,0.641
participant_1,3690.0,0.86
participant_1,3750.0,0.452
participant_1,3810.0,1.583
participant_1,3870.0,-0.291
participant_1,3930.0,-0.624
participant_1,3990.0,-0.545
participant_1,4050.0,-1.232
participant_1,4110.0,-1.205
participant_1,4170.0,-0.161
participant_1,4230.0,1.108
participant_1,4290.0,1.791
participant_1,4350.0,1.99
participant_1,4410.0,0.935
participant_1,4470.0,1.25
participant_1,4530.0,-0.072
participant_1,4590.0,-0.243
participant_1,4650.0,0.158
participant_1,4710.0,1.909
participant_1,4770.0,0.558
participant_1,4830.0,-0.531
participant_1,4890.0,-0.229
participant_1,4950.0,0.101
participant_1,5010.0,-1.311
participant_1,5070.0,-0.303
participant_1,5130.0,-1.127
participant_1,5190.0,0.981
participant_1,5250.0,1.434
participant_1,5310.0,2.09
participant_1,5370.0,-0.852
participant_1,5430.0,-0.261
participant_1,5490.0,-0.652
participant_1,5550.0,0.004
participant_1,5610.0,-1.446
participant_1,5670.0,-0.126
participant_1,5730.0,-0.887
participant_1,5790.0,-0.256
participant_1,5850.0,-1.727
participant_1,5910.0,-1.235
